date,close,symbol
2022-11-02,57.71,BLDR
2022-11-01,61.58,BLDR
2022-10-31,61.66,BLDR
2022-10-28,61.94,BLDR
2022-10-27,60.86,BLDR
2022-10-26,60.7,BLDR
2022-10-25,60.47,BLDR
2022-10-24,57.76,BLDR
2022-10-21,56.32,BLDR
2022-10-20,54.45,BLDR
2022-10-19,56.34,BLDR
2022-10-18,60.65,BLDR
2022-10-17,58.98,BLDR
2022-10-14,57.96,BLDR
2022-10-13,62.37,BLDR
2022-10-12,62.82,BLDR
2022-10-11,64.19,BLDR
2022-10-10,64.09,BLDR
2022-10-07,63.24,BLDR
2022-10-06,63.79,BLDR
2022-10-05,63.62,BLDR
2022-10-04,63.45,BLDR
2022-10-03,60.28,BLDR
2022-09-30,58.92,BLDR
2022-09-29,58.2,BLDR
2022-09-28,58.46,BLDR
2022-09-27,54.29,BLDR
2022-09-26,52.89,BLDR
2022-09-23,54.14,BLDR
2022-09-22,55.51,BLDR
2022-09-21,56.61,BLDR
2022-09-20,56.31,BLDR
2022-09-19,57.15,BLDR
2022-09-16,55.41,BLDR
2022-09-15,55.3,BLDR
2022-09-14,55.22,BLDR
2022-09-13,56.61,BLDR
2022-09-12,61.41,BLDR
2022-09-09,61.17,BLDR
2022-09-08,58.68,BLDR
2022-09-07,58.63,BLDR
2022-09-06,57.64,BLDR
2022-09-02,58.57,BLDR
2022-09-01,58.76,BLDR
2022-08-31,58.61,BLDR
2022-08-30,59.85,BLDR
2022-08-29,60.44,BLDR
2022-08-26,62.1,BLDR
2022-08-25,65.27,BLDR
2022-08-24,64.44,BLDR
2022-08-23,64.2,BLDR
2022-08-22,64.78,BLDR
2022-08-19,66.32,BLDR
2022-08-18,68.43,BLDR
2022-08-17,67.0,BLDR
2022-08-16,69.21,BLDR
2022-08-15,69.66,BLDR
2022-08-12,70.75,BLDR
2022-08-11,70.26,BLDR
2022-08-10,68.37,BLDR
2022-08-09,66.78,BLDR
2022-08-08,69.78,BLDR
2022-08-05,68.37,BLDR
2022-08-04,70.81,BLDR
2022-08-03,69.01,BLDR
2022-08-02,70.27,BLDR
2022-08-01,73.34,BLDR
2022-07-29,68.0,BLDR
2022-07-28,65.83,BLDR
2022-07-27,65.24,BLDR
2022-07-26,64.34,BLDR
2022-07-25,65.18,BLDR
2022-07-22,65.56,BLDR
2022-07-21,65.69,BLDR
2022-07-20,66.12,BLDR
2022-07-19,65.37,BLDR
2022-07-18,63.72,BLDR
2022-07-15,63.84,BLDR
2022-07-14,62.85,BLDR
2022-07-13,63.11,BLDR
2022-07-12,62.51,BLDR
2022-07-11,59.98,BLDR
2022-07-08,60.74,BLDR
2022-07-07,60.52,BLDR
2022-07-06,58.86,BLDR
2022-07-05,58.69,BLDR
2022-07-01,57.46,BLDR
2022-06-30,53.7,BLDR
2022-06-29,52.67,BLDR
2022-06-28,52.65,BLDR
2022-06-27,53.44,BLDR
2022-06-24,52.8,BLDR
2022-06-23,51.12,BLDR
2022-06-22,50.02,BLDR
2022-06-21,50.9,BLDR
2022-06-17,50.48,BLDR
2022-06-16,50.48,BLDR
2022-06-15,55.46,BLDR
2022-06-14,55.1,BLDR
2022-06-13,55.47,BLDR
2022-06-10,60.17,BLDR
2022-06-09,65.17,BLDR
2022-06-08,65.52,BLDR
2022-06-07,67.66,BLDR
2022-06-06,66.57,BLDR
2022-06-03,65.8,BLDR
2022-06-02,65.87,BLDR
2022-06-01,63.81,BLDR
2022-05-31,65.09,BLDR
2022-05-27,66.76,BLDR
2022-05-26,66.27,BLDR
2022-05-25,62.24,BLDR
2022-05-24,59.04,BLDR
2022-05-23,62.5,BLDR
2022-05-20,60.82,BLDR
2022-05-19,62.71,BLDR
2022-05-18,62.99,BLDR
2022-05-17,68.36,BLDR
2022-05-16,66.72,BLDR
2022-05-13,66.89,BLDR
2022-05-12,64.0,BLDR
2022-05-11,62.99,BLDR
2022-05-10,65.13,BLDR
2022-05-09,64.75,BLDR
2022-05-06,65.09,BLDR
2022-05-05,65.91,BLDR
2022-05-04,68.61,BLDR
2022-05-03,64.83,BLDR
2022-05-02,63.28,BLDR
2022-04-29,61.57,BLDR
2022-04-28,63.97,BLDR
2022-04-27,60.42,BLDR
2022-04-26,61.36,BLDR
2022-04-25,65.85,BLDR
2022-04-22,61.41,BLDR
2022-04-21,62.39,BLDR
2022-04-20,64.99,BLDR
2022-04-19,63.63,BLDR
2022-04-18,60.8,BLDR
2022-04-14,61.16,BLDR
2022-04-13,62.11,BLDR
2022-04-12,60.33,BLDR
2022-04-11,60.76,BLDR
2022-04-08,59.86,BLDR
2022-04-07,59.87,BLDR
2022-04-06,59.94,BLDR
2022-04-05,62.64,BLDR
2022-04-04,64.92,BLDR
2022-04-01,64.2,BLDR
2022-03-31,64.54,BLDR
2022-03-30,67.95,BLDR
2022-03-29,71.85,BLDR
2022-03-28,69.33,BLDR
2022-03-25,67.96,BLDR
2022-03-24,69.53,BLDR
2022-03-23,73.49,BLDR
2022-03-22,76.3,BLDR
2022-03-21,76.36,BLDR
2022-03-18,78.29,BLDR
2022-03-17,76.9,BLDR
2022-03-16,75.27,BLDR
2022-03-15,73.36,BLDR
2022-03-14,70.01,BLDR
2022-03-11,74.33,BLDR
2022-03-10,74.66,BLDR
2022-03-09,73.85,BLDR
2022-03-08,70.57,BLDR
2022-03-07,67.92,BLDR
2022-03-04,74.11,BLDR
2022-03-03,74.87,BLDR
2022-03-02,77.27,BLDR
2022-03-01,73.05,BLDR
2022-02-28,74.42,BLDR
2022-02-25,72.72,BLDR
2022-02-24,69.54,BLDR
2022-02-23,66.62,BLDR
2022-02-22,69.36,BLDR
2022-02-18,71.72,BLDR
2022-02-17,69.05,BLDR
